| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
| H11044 | AMAC信息 | AMAC信息技术指数 | 2008-12-31 | 1000 | 中基协指数系列 | 370 | 3619.52 | -3.31 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11045 | AMAC批零 | AMAC批发零售贸易指数 | 2008-12-31 | 1000 | 中基协指数系列 | 166 | 1750.59 | -0.66 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11046 | AMAC金融 | AMAC金融业指数 | 2008-12-31 | 1000 | 中基协指数系列 | 120 | 4380.3 | 3.57 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11047 | AMAC地产 | AMAC房地产指数 | 2008-12-31 | 1000 | 中基协指数系列 | 81 | 1770.94 | 2.54 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11049 | AMAC文体 | AMAC文化体育指数 | 2008-12-31 | 1000 | 中基协指数系列 | 60 | 1220.78 | -8.34 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11050 | AMAC综企 | AMAC综合企业指数 | 2008-12-31 | 1000 | 中基协指数系列 | 33 | 2931.87 | 0.64 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H30036 | AMAC餐饮 | AMAC餐饮住宿指数 | 2009-01-01 | 1000 | 中基协指数系列 | 8 | 2216.96 | -10.81 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30037 | AMAC商务 | AMAC租赁商务指数 | 2009-01-01 | 1000 | 中基协指数系列 | 66 | 3238.42 | -5.99 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30038 | AMAC科技 | AMAC科研技术指数 | 2009-01-01 | 1000 | 中基协指数系列 | 100 | 7241.05 | -2.07 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30039 | AMAC公共 | AMAC水利环境指数 | 2009-01-01 | 1000 | 中基协指数系列 | 71 | 1683.83 | 0.62 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30040 | AMAC社会 | AMAC居民服务指数 | 2009-01-01 | 1000 | 中基协指数系列 | 17 | 16105.36 | -2.38 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30041 | AMAC农副 | AMAC食品加工指数 | 2009-01-01 | 1000 | 中基协指数系列 | 54 | 3178.39 | -2.59 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30042 | AMAC食品 | AMAC食品制造指数 | 2009-01-01 | 1000 | 中基协指数系列 | 67 | 10910.29 | -1.36 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30043 | AMAC饮料 | AMAC饮料制造指数 | 2009-01-01 | 1000 | 中基协指数系列 | 42 | 11115.17 | -1.05 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30044 | AMAC纺织 | AMAC纺织指数 | 2009-01-01 | 1000 | 中基协指数系列 | 35 | 1638.75 | 2.42 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30045 | AMAC服装 | AMAC纺织服装指数 | 2009-01-01 | 1000 | 中基协指数系列 | 29 | 1708.25 | -0.92 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30046 | AMAC皮革 | AMAC皮革指数 | 2009-01-01 | 1000 | 中基协指数系列 | 9 | 804.96 | -6.68 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30047 | AMAC木材 | AMAC木材指数 | 2009-01-01 | 1000 | 中基协指数系列 | 7 | 2829.33 | 10.5 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30048 | AMAC家具 | AMAC家具指数 | 2009-01-01 | 1000 | 中基协指数系列 | 20 | 4435.48 | -3.54 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30049 | AMAC造纸 | AMAC造纸指数 | 2009-01-01 | 1000 | 中基协指数系列 | 37 | 2209.43 | -1.46 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30050 | AMAC印刷 | AMAC印刷指数 | 2009-01-01 | 1000 | 中基协指数系列 | 12 | 2327.08 | -3.17 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30051 | AMAC文教 | AMAC文教用品指数 | 2009-01-01 | 1000 | 中基协指数系列 | 20 | 2108.38 | -1.27 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30052 | AMAC石化 | AMAC石化指数 | 2009-01-01 | 1000 | 中基协指数系列 | 13 | 1078.25 | 7.44 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30053 | AMAC化学 | AMAC化学制品指数 | 2009-01-01 | 1000 | 中基协指数系列 | 294 | 2982.05 | 0.01 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30054 | AMAC医药 | AMAC医药制造指数 | 2009-01-01 | 1000 | 中基协指数系列 | 271 | 4852.74 | -2.46 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30055 | AMAC化纤 | AMAC化纤指数 | 2009-01-01 | 1000 | 中基协指数系列 | 21 | 3914.8 | -3.87 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30056 | AMAC橡胶 | AMAC橡胶塑料指数 | 2009-01-01 | 1000 | 中基协指数系列 | 103 | 4719.08 | -3.34 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30057 | AMAC矿物 | AMAC非金属指数 | 2009-01-01 | 1000 | 中基协指数系列 | 91 | 6153.52 | -0.67 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30058 | AMAC钢铁 | AMAC黑色金属指数 | 2009-01-01 | 1000 | 中基协指数系列 | 29 | 1594.15 | 4.53 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30059 | AMAC有色 | AMAC有色金属指数 | 2009-01-01 | 1000 | 中基协指数系列 | 82 | 4398.22 | 10.85 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30060 | AMAC金属 | AMAC金属制品指数 | 2009-01-01 | 1000 | 中基协指数系列 | 89 | 4998.92 | 1.94 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30061 | AMAC通用 | AMAC通用设备指数 | 2009-01-01 | 1000 | 中基协指数系列 | 194 | 2627.9 | 0.02 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30062 | AMAC专用 | AMAC专用设备指数 | 2009-01-01 | 1000 | 中基协指数系列 | 302 | 4197.11 | 0.34 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30063 | AMAC汽车 | AMAC汽车制造指数 | 2009-01-01 | 1000 | 中基协指数系列 | 181 | 9480.99 | -2.69 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30064 | AMAC运输 | AMAC运输设备指数 | 2009-01-01 | 1000 | 中基协指数系列 | 72 | 2868.46 | 1.99 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30065 | AMAC电气 | AMAC电气机械指数 | 2009-01-01 | 1000 | 中基协指数系列 | 301 | 6734.95 | 2.35 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30066 | AMAC电子 | AMAC电子设备指数 | 2009-01-01 | 1000 | 中基协指数系列 | 594 | 7879.41 | -0.1 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| H30067 | AMAC仪表 | AMAC仪器仪表指数 | 2009-01-01 | 1000 | 中基协指数系列 | 66 | 4902.54 | -3.26 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2013-01-21 |
| 899001 | 三板成指 | 全国中小企业股份转让系统成份指数 | 2014-12-31 | 1000 | 新三板系列指数 | 1660 | 733.22 | -0.76 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2015-03-18 |
| 899301 | 三板龙头 | 全国中小企业股份转让系统民营龙头指数 | 2018-12-20 | 1000 | 新三板系列指数 | 51 | 1153.44 | -1.51 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-01-14 |
| 899302 | 三板制造 | 全国中小企业股份转让系统民营高技术制造指数 | 2018-12-20 | 1000 | 新三板系列指数 | 100 | 1497.87 | 0.85 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-01-14 |
| 899303 | 三板服务 | 全国中小企业股份转让系统民营高技术服务指数 | 2018-12-20 | 1000 | 新三板系列指数 | 200 | 806.78 | -3.15 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-01-14 |
| 899304 | 三板医药 | 全国中小企业股份转让系统民营医药制造指数 | 2018-12-20 | 1000 | 新三板系列指数 | 50 | 1486.38 | 1.51 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-01-14 |
| 899305 | 三板消费 | 全国中小企业股份转让系统民营消费指数 | 2018-12-20 | 1000 | 新三板系列指数 | 200 | 740.11 | -1.78 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-04-22 |
| 899306 | 三板研发 | 全国中小企业股份转让系统研发指数 | 2018-12-20 | 1000 | 新三板系列指数 | 100 | 1500.01 | -0.93 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-04-22 |
| 899307 | 三板活跃 | 全国中小企业股份转让系统活跃股票指数 | 2018-12-20 | 1000 | 新三板系列指数 | 50 | 2204.65 | -2.76 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-04-22 |
| CESCPE | 中华民企指数 | 中华交易服务中国海外民企指数 | 2008-12-31 | 1000 | 中华交易系列指数 | 30 | 6681.22 | -3.13 | 股票 |  | 美元 | 否 | 否 | 无 | 主题 | 2017-01-23 |
