| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|:----------|
| 399701 | 深证F60 | 深证基本面60指数 | 2002-12-31 | 1000 | 深证系列指数 | 60 | 8091.77 | 0.3 | 股票 | Smart Beta | 人民币 | 否 | 是 | 无 | 策略 | 2010-05-10 |
| 399702 | 深证F120 | 深证基本面120指数 | 2002-12-31 | 1000 | 深证系列指数 | 120 | 7558.47 | 0.9 | 股票 | Smart Beta | 人民币 | 否 | 是 | 无 | 策略 | 2010-05-10 |
| 399703 | 深证F200 | 深证基本面200指数 | 2002-12-31 | 1000 | 深证系列指数 | 200 | 7460.27 | 0.95 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2010-05-10 |
| 399704 | 深证上游 | 深证上游产业指数 | 2002-12-31 | 1000 | 深证系列指数 | 50 | 5874.26 | 8.2 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-10-18 |
| 399705 | 深证中游 | 深证中游产业指数 | 2002-12-31 | 1000 | 深证系列指数 | 150 | 4115.26 | 1.52 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-10-18 |
| 399706 | 深证下游 | 深证下游产业指数 | 2002-12-31 | 1000 | 深证系列指数 | 100 | 5820.04 | -3.74 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-10-18 |
| 899002 | 三板做市 | 全国中小企业股份转让系统做市成份指数 | 2014-12-31 | 1000 | 新三板系列指数 | 93 | 1206.32 | -3.09 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2015-03-18 |
| 899003 | 创新成指 | 全国中小企业股份转让系统创新层成份指数 | 2018-12-20 | 1000 | 新三板系列指数 | 895 | 1016.49 | -0.79 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2019-01-14 |
| 899050 | 北证50 | 北证50成份指数 | 2022-04-29 | 1000 | 北证系列指数 | 50 | 1458.42 | -7.58 | 股票 |  | 人民币 | 否 | 是 | 无 | 规模 | 2022-11-21 |
| 899601 | 北证专精特新 | 北证专精特新指数 | 2024-06-28 | 1000 | 北证系列指数 | 50 | 2504.22 | -8.89 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2025-06-30 |
| 990001 | 中华半导体芯片 | 中华交易服务半导体芯片行业指数 | 2011-12-30 | 2000 | 中华交易系列指数 | 50 | 12306.61 | 4.76 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2019-03-18 |
| CES100 | 中华港股通精选100 | 中华交易服务港股通精选100指数 | 2008-12-31 | 2000 | 中华交易系列指数 | 100 | 5690.64 | -3.39 | 股票 |  | 港元 | 否 | 是 | 无 | 规模 | 2014-12-15 |
| CES120 | 中华120 | 中华交易服务中国120指数 | 2004-12-31 | 2000 | 中华交易系列指数 | 120 | 7346.76 | 0.16 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2012-12-10 |
| CES280 | 中华280 | 中华交易服务中国280指数 | 2004-12-31 | 2000 | 中华交易系列指数 | 280 | 8123.56 | 1.64 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2014-07-07 |
| CES300 | 中华沪深港300 | 中华交易服务沪深港300指数 | 2008-12-31 | 2000 | 中华交易系列指数 | 300 | 5470.47 | 0.24 | 股票 |  | 人民币 | 否 | 是 | 无 | 规模 | 2014-12-15 |
| CESA80 | 中华 A80 | 中华交易服务中国A80指数 | 2004-12-31 | 2000 | 中华交易系列指数 | 80 | 8342.13 | 2.08 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2013-03-18 |
| CESCPD | 中华内房股 | 中华交易服务内房股指数 | 2012-03-30 | 2000 | 中华交易系列指数 | 27 | 1364.02 | -6.05 | 股票 |  | 港元 | 否 | 否 | 无 | 主题 | 2019-03-18 |
| CESFHY | 中华预期高股息 | 中华交易服务预期高股息指数 | 2011-12-30 | 2000 | 中华交易系列指数 | 40 | 3194.98 | 1.38 | 股票 | 红利/高股息 | 港元 | 否 | 是 | 无 | 策略 | 2019-06-24 |
| CESG10 | 中华博彩指数 | 中华交易服务博彩业指数 | 2011-03-04 | 3000 | 中华交易系列指数 | 5 | 3093.97 | -10.87 | 股票 |  | 港元 | 否 | 否 | 无 | 主题 | 2016-04-18 |
| CESHKB | 中华香港生物科技 | 中华交易服务香港生物科技指数 | 2014-12-12 | 2000 | 中华交易系列指数 | 30 | 9057.83 | -6.1 | 股票 |  | 港元 | 否 | 否 | 无 | 主题 | 2018-11-14 |
| CESHKM | 中华香港内地指数 | 中华交易服务中国香港内地指数 | 2004-12-31 | 2000 | 中华交易系列指数 | 40 | 7136.84 | -2.31 | 股票 |  | 港元 | 否 | 否 | 无 | 规模 | 2013-03-18 |
| CESP50 | 中华港股通优选50 | 中华港股通优选50指数 | 2011-12-30 | 2000 | 中华交易系列指数 | 50 | 3237.02 | -1.6 | 股票 |  | 港元 | 否 | 否 | 无 | 规模 | 2018-01-04 |
| H11030 | AMAC农林 | AMAC农林牧渔指数 | 2008-12-31 | 1000 | 中基协指数系列 | 38 | 2753.71 | -3.85 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11031 | AMAC采矿 | AMAC采矿指数 | 2008-12-31 | 1000 | 中基协指数系列 | 78 | 3196.99 | 11.99 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11041 | AMAC公用 | AMAC水电煤气指数 | 2008-12-31 | 1000 | 中基协指数系列 | 135 | 2560.46 | 4.71 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11042 | AMAC建筑 | AMAC建筑指数 | 2008-12-31 | 1000 | 中基协指数系列 | 76 | 1648.61 | 1.97 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
| H11043 | AMAC交运 | AMAC交运仓储指数 | 2008-12-31 | 1000 | 中基协指数系列 | 103 | 1822.55 | 1.21 | 股票 |  | 人民币 | 否 | 否 | 无 | 行业 | 2009-06-15 |
