| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
| 000032 | 上证能源 | 上证能源行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 1939.51 | 6.44 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2009-01-09 |
| 000033 | 上证材料 | 上证原材料行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 3258.48 | 8.19 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2009-01-09 |
| 000034 | 上证工业 | 上证工业行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 49 | 2265.65 | 3.8 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2009-01-09 |
| 000035 | 上证可选 | 上证可选消费行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 3028.09 | -4.23 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2009-01-09 |
| 000036 | 上证消费 | 上证主要消费行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 11345.02 | -1.45 | 股票 |  | 人民币 | 否 | 是 | IOSCO | 行业 | 2009-01-09 |
| 000037 | 上证医药 | 上证医药卫生行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 6972.28 | -4.77 | 股票 |  | 人民币 | 否 | 是 | IOSCO | 行业 | 2009-01-09 |
| 000038 | 上证金融 | 上证金融地产行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 5741.26 | 4.38 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2009-01-09 |
| 000039 | 上证信息 | 上证信息技术行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 5698.57 | 2.85 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2009-01-09 |
| 000040 | 上证通信 | 上证通信服务行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 3882.31 | -1.51 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2009-01-09 |
| 000041 | 上证公用 | 上证公用事业行业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 2627.45 | 4.15 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2009-01-09 |
| 000042 | 上证央企 | 上证中央企业50指数 | 2008-12-31 | 1000.0 | 上证系列指数 | 49 | 1822.79 | 4.11 | 股票 | 国企改革 | 人民币 | 否 | 是 | 无 | 主题 | 2009-03-30 |
| 000043 | 超大盘 | 上证超级大盘指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 20 | 2633.72 | 3.92 | 股票 |  | 人民币 | 否 | 是 | 无 | 规模 | 2009-04-23 |
| 000044 | 上证中盘 | 上证中盘指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 130 | 4612.38 | 2.72 | 股票 |  | 人民币 | 否 | 是 | 无 | 规模 | 2009-07-03 |
| 000045 | 上证小盘 | 上证小盘指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 320 | 5653.85 | 0.94 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2009-07-03 |
| 000046 | 上证中小 | 上证中小盘指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 450 | 5111.72 | 1.89 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2009-07-03 |
| 000047 | 上证全指 | 上证大中小盘指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 500 | 3919.7 | 2.54 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2009-07-03 |
| 000048 | 责任指数 | 上证社会责任指数 | 2009-06-30 | 1000.0 | 上证系列指数 | 100 | 1444.52 | 1.3 | 股票 | 绿色 | 人民币 | 否 | 是 | 无 | 主题 | 2009-08-05 |
| 000049 | 上证民企 | 上证民营企业50指数 | 2009-06-30 | 1000.0 | 上证系列指数 | 50 | 2043.63 | 1.41 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2009-08-25 |
| 000050 | 50等权 | 上证50等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 2408.07 | 3.76 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2011-01-04 |
| 000051 | 180等权 | 上证180等权重指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 180 | 9315.05 | 2.94 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2011-05-24 |
| 000052 | 50基本 | 上证50基本面加权指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 2945.31 | 3.69 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2012-01-09 |
| 000053 | 180基本 | 上证180基本面加权指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 179 | 12497.84 | 3.39 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2012-01-09 |
| 000054 | 上证海外 | 上证海外上市A股指数 | 2006-12-29 | 1000.0 | 上证系列指数 | 66 | 1555.17 | 5.05 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2010-01-04 |
| 000055 | 上证地企 | 上证地方国有企业50指数 | 2009-06-30 | 1000.0 | 上证系列指数 | 50 | 1557.04 | 3.64 | 股票 | 国企改革 | 人民币 | 否 | 否 | 无 | 主题 | 2010-01-04 |
| 000056 | 上证国企 | 上证国有企业100指数 | 2009-06-30 | 1000.0 | 上证系列指数 | 100 | 1223.05 | 4.63 | 股票 | 国企改革 | 人民币 | 否 | 是 | 无 | 主题 | 2010-01-04 |
| 000057 | 全指成长 | 上证全指成长指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 149 | 3834.87 | 1.55 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2010-01-04 |
| 000058 | 全指价值 | 上证全指价值指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 150 | 4623.29 | 4.07 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2010-01-04 |
| 000059 | 全R成长 | 上证全指相对成长指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 377 | 3347.97 | 1.59 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2010-01-04 |
| 000060 | 全R价值 | 上证全指相对价值指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 378 | 4408.91 | 3.45 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2010-01-04 |
| 000061 | 沪企债30 | 上证企债30指数 | 2008-12-31 | 100.0 | 上证系列指数 | 30 | 177.89 | 0.06 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2010-01-04 |
| 000062 | 上证沪企 | 上证沪企指数 | 2005-12-31 | 1000.0 | 上证系列指数 | 50 | 2112.21 | 2.08 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2010-01-04 |
| 000063 | 上证周期 | 上证周期行业50指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 3884.79 | 5.81 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2010-02-03 |
| 000064 | 非周期 | 上证非周期行业100指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 100 | 3675.52 | 0.71 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2010-02-03 |
| 000065 | 上证龙头 | 上证龙头企业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 95 | 3596.5 | 1.22 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2010-02-09 |
| 000066 | 上证商品 | 上证大宗商品股票指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 3337.29 | 7.75 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2010-04-30 |
| 000067 | 上证新兴 | 上证新兴产业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 8814.11 | 3.37 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2010-04-30 |
| 000068 | 上证资源 | 上证自然资源指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 47 | 3741.33 | 10.51 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2010-05-28 |
| 000069 | 消费80 | 上证消费80指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 80 | 5169.08 | -3.85 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2010-05-28 |
| 000070 | 能源等权 | 上证能源行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 2794.37 | 6.84 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000071 | 材料等权 | 上证原材料行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 4359.62 | 6.77 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000072 | 工业等权 | 上证工业行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 49 | 3002.28 | 3.33 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000073 | 可选等权 | 上证可选消费行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 3498.89 | -3.26 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000074 | 消费等权 | 上证主要消费行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 30 | 7280.21 | -1.19 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
| 000075 | 医药等权 | 上证医药卫生行业分层等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 7452.25 | -3.98 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2010-08-18 |
