| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
| 000141 | 380动态 | 上证380动态指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 190 | 3848.95 | -1.51 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2013-02-08 |
| 000142 | 380稳定 | 上证380稳定指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 189 | 9729.4 | 2.46 | 股票 | 低风险 | 人民币 | 否 | 否 | 无 | 策略 | 2013-02-08 |
| 000145 | 优势资源 | 上证优势资源产业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 39 | 7572.08 | 11.67 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-05-29 |
| 000146 | 优势制造 | 上证优势制造产业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 49 | 7589.69 | 3.7 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-05-29 |
| 000147 | 优势消费 | 上证优势消费产业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 45 | 7138.9 | -2.91 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-05-29 |
| 000148 | 消费领先 | 上证消费服务领先指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 100 | 9692.09 | -1.32 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-05-29 |
| 000149 | 180红利 | 上证180红利指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 30 | 4071.12 | 4.04 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2012-07-20 |
| 000150 | 380红利 | 上证380红利指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 30 | 12007.8 | 3.46 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2012-07-20 |
| 000151 | 上国红利 | 上证国有企业红利指数 | 2009-06-30 | 1000.0 | 上证系列指数 | 30 | 1595.57 | 5.53 | 股票 | 红利/高股息 | 人民币 | 否 | 是 | 无 | 策略 | 2012-07-20 |
| 000152 | 上央红利 | 上证中央企业红利指数 | 2008-12-31 | 1000.0 | 上证系列指数 | 30 | 2873.15 | 1.78 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2012-07-20 |
| 000153 | 上民红利 | 上证民营企业红利指数 | 2009-06-30 | 1000.0 | 上证系列指数 | 30 | 3187.19 | 1.72 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2012-07-20 |
| 000155 | 市值百强 | 上证市值百强指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 99 | 3292.98 | 3.36 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2012-07-20 |
| 000158 | 上证环保 | 上证环保产业指数 | 2011-12-30 | 1000.0 | 上证系列指数 | 40 | 1322.87 | 1.63 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2012-09-25 |
| 000159 | 沪股通 | 上证沪股通指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 1392 | 3625.58 | 1.84 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2014-11-17 |
| 000160 | 沪新丝路 | 上证一带一路主题指数 | 2012-12-31 | 1000.0 | 上证系列指数 | 66 | 2067.12 | 5.65 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2015-06-24 |
| 000161 | 沪中国造 | 上证中国制造主题指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 149 | 1720.8 | 1.57 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-10-29 |
| 000162 | 沪互联+ | 上证互联网+主题指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 71 | 3636.23 | -2.75 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-10-29 |
| 000680 | 科创综指 | 上证科创板综合指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 571 | 1618.23 | -0.27 | 股票 |  | 人民币 | 否 | 否 | 无 | 综合 | 2025-01-20 |
| 000681 | 科创价格 | 上证科创板综合价格指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 571 | 1562.28 | -0.3 | 股票 |  | 人民币 | 否 | 是 | 无 | 综合 | 2025-01-20 |
| 000682 | 科创信息 | 上证科创板新一代信息技术指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 2027.91 | 4.11 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2021-08-16 |
| 000683 | 科创生物 | 上证科创板生物医药指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1185.1 | -5.63 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2022-05-09 |
| 000685 | 科创芯片 | 上证科创板芯片指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 2662.73 | 5.91 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2022-06-13 |
| 000687 | 科创高装 | 上证科创板高端装备制造指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1259.99 | -2.82 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2022-08-15 |
| 000688 | 科创50 | 上证科创板50成份指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1406.32 | 3.2 | 股票 |  | 人民币 | 否 | 是 | IOSCO | 规模 | 2020-07-23 |
| 000689 | 科创材料 | 上证科创板新材料指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1134.73 | 1.44 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2022-08-15 |
| 000690 | 科创成长 | 上证科创板成长指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1737.82 | 0.86 | 股票 |  | 人民币 | 否 | 是 | 无 | 策略 | 2022-11-04 |
| 000691 | 科创ESG | 上证科创板ESG指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1468.88 | 2.36 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 主题 | 2024-03-21 |
| 000692 | 科创新能 | 上证科创板新能源指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 43 | 1130.3 | -1.55 | 股票 | 绿色 | 人民币 | 否 | 是 | 无 | 主题 | 2023-04-03 |
| 000693 | 科创机械 | 上证科创板工业机械指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1364.58 | -2.9 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2023-04-03 |
| 000695 | 科长三角 | 上证科创板长三角指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1037.21 | 2.61 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2023-04-03 |
| 000697 | 科大湾区 | 上证科创板粤港澳大湾区指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1324.28 | -0.07 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2023-04-03 |
| 000698 | 科创100 | 上证科创板100指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 100 | 1393.65 | -2.01 | 股票 |  | 人民币 | 否 | 是 | IOSCO | 规模 | 2023-08-07 |
| 000699 | 科创200 | 上证科创板200指数 | 2022-12-30 | 1000.0 | 上证系列指数 | 200 | 1242.74 | -2.51 | 股票 |  | 人民币 | 否 | 是 | 无 | 规模 | 2024-08-20 |
| 000888 | 上证收益 | 上证综合全收益指数 | 2020-07-21 | 3320.89 | 上证系列指数 | 2234 | 4467.28 | 2.62 | 股票 |  | 人民币 | 否 | 否 | 无 | 综合 | 2020-10-09 |
| 000171 | 新兴成指 | 中国战略新兴产业成份指数 | 2010-12-31 | 1000.0 | 上证系列指数 | 100 | 1787.36 | -0.02 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2017-01-25 |
| 950049 | G60成指 | 上证G60战略新兴产业成份指数 | 2016-05-24 | 1000.0 | 上证系列指数 | 50 | 1198.9 | -0.55 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2019-11-29 |
| 950081 | 180碳效 | 上证180碳效率指数 | 2013-06-28 | 1000.0 | 上证系列指数 | 174 | 1793.33 | 4.59 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2015-10-08 |
| 950082 | 上海改革 | 上证上海改革发展主题指数 | 2011-12-31 | 1000.0 | 上证系列指数 | 72 | 2696.21 | 2.34 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2015-08-03 |
| 950090 | 50AH优选 | 上证50AH优选指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 50 | 6196.8 | 2.85 | 股票 | 互联互通 | 人民币 | 是 | 是 | 无 | 策略 | 2015-12-10 |
| 950092 | 上证180优选 | 上证180AH优选指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 180 | 6411.32 | 2.46 | 股票 | 互联互通 | 人民币 | 是 | 否 | 无 | 策略 | 2015-12-10 |
| 950105 | 上证证券 | 上证证券行业指数 | 2012-12-31 | 1000.0 | 上证系列指数 | 33 | 1404.74 | 3.05 | 股票 |  | 人民币 | 否 | 是 | IOSCO | 行业 | 2016-10-18 |
| 950106 | 上证创新 | 上证创新驱动主题指数 | 2012-12-31 | 1000.0 | 上证系列指数 | 100 | 2192.1 | -2.0 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2016-10-19 |
| 950107 | 380创新 | 上证380创新驱动指数 | 2012-12-31 | 1000.0 | 上证系列指数 | 50 | 3492.65 | 0.38 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2016-10-19 |
| 950125 | 科创半导体材料设备 | 上证科创板半导体材料设备主题指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 30 | 1991.26 | 7.94 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2024-07-26 |
| 950162 | 科创芯片设计 | 上证科创板芯片设计主题指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1930.5 | 2.58 | 股票 |  | 人民币 | 否 | 是 | 无 | 主题 | 2024-07-26 |
| 950196 | 智选科创龙头策略 | 上证智选科创板龙头策略指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 2044.27 | 0.82 | 股票 |  | 人民币 | 是 | 否 | 无 | 策略 | 2024-03-04 |
| 950222 | 沪专精特新 | 上证专精特新指数 | 2018-12-28 | 1000.0 | 上证系列指数 | 99 | 1649.54 | 0.54 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2025-07-21 |
| 950253 | 国新科创国企 | 上证国新科创板国企指数 | 2022-12-30 | 1000.0 | 上证系列指数 | 74 | 1349.43 | 5.98 | 股票 |  | 人民币 | 是 | 否 | 无 | 主题 | 2025-01-02 |
| 950260 | 智选科创成长动量 | 上证智选科创板成长动量50策略指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1962.82 | -2.32 | 股票 |  | 人民币 | 是 | 否 | 无 | 策略 | 2024-03-04 |
| 950333 | 智选创新价值 | 上证智选科创板创新价值指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 100 | 2225.66 | 2.14 | 股票 |  | 人民币 | 是 | 是 | 无 | 策略 | 2024-09-25 |
| 950357 | 科创专精特新 | 上证科创板专精特新指数 | 2024-06-28 | 1000.0 | 上证系列指数 | 50 | 1801.34 | 1.73 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2025-07-21 |
| 950580 | 上证580 | 上证580指数 | 2018-12-28 | 1000.0 | 上证系列指数 | 580 | 1879.82 | -0.78 | 股票 |  | 人民币 | 否 | 是 | 无 | 规模 | 2025-06-16 |
| H11080 | HGSZ AAA | 上证公司债AAA指数 | 2008-12-31 | 100.0 | 上证系列指数 | 3437 | 203.24 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-05-03 |
| H11081 | HGSZ AA+ | 上证公司债AA+指数 | 2009-12-31 | 100.0 | 上证系列指数 | 493 | 225.96 | 0.24 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-05-03 |
| H11082 | HGSZ AA | 上证公司债AA指数 | 2009-12-31 | 100.0 | 上证系列指数 | 34 | 262.6 | 0.24 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-05-03 |
| H11083 | HGSZ 1-3 | 上证公司债1-3年指数 | 2009-12-31 | 100.0 | 上证系列指数 | 2121 | 204.21 | 0.22 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-05-03 |
| H11084 | HGSZ 3-5 | 上证公司债3-5年指数 | 2008-12-31 | 100.0 | 上证系列指数 | 1289 | 224.07 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-05-03 |
| H11085 | HGSZ 5-7 | 上证公司债5-7年指数 | 2009-12-31 | 100.0 | 上证系列指数 | 149 | 227.02 | 0.26 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-05-03 |
| H11086 | HGSZ7-10 | 上证公司债7-10年指数 | 2008-12-31 | 100.0 | 上证系列指数 | 335 | 221.14 | 0.04 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-05-03 |
| H50001 | 180能源 | 上证180能源指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 9 | 2192.41 | 6.32 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50002 | 180材料 | 上证180原材料指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 19 | 3110.53 | 11.41 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50003 | 180工业 | 上证180工业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 45 | 1920.06 | 2.68 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50004 | 180可选 | 上证180可选消费指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 12 | 2511.68 | -4.52 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50005 | 180消费 | 上证180主要消费指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 7 | 16436.1 | -0.95 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50006 | 180医药 | 上证180医药卫生指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 9 | 6108.74 | -5.17 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50007 | 180金融地产 | 上证180金融地产指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 42 | 5424.23 | 4.35 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-06-29 |
| H50008 | 180信息 | 上证180信息技术指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 21 | 5437.19 | 3.24 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50009 | 180通信 | 上证180通信服务指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 4 | 2137.27 | 0.84 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50010 | 180公用 | 上证180公用事业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 12 | 2197.09 | 3.1 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2012-06-29 |
| H50011 | 沪环渤海 | 上证环渤海龙头企业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 69 | 3423.37 | 7.02 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2012-09-27 |
| H50012 | 沪长三角 | 上证长三角龙头企业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 67 | 3167.12 | -0.11 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2012-09-27 |
| H50013 | 沪珠三角 | 上证泛珠三角龙头企业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 63 | 10562.12 | 5.36 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2012-09-27 |
| H50014 | 沪中部 | 上证中部崛起龙头企业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 60 | 3884.37 | 8.79 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2012-09-27 |
| H50015 | 沪西部 | 上证西部大开发龙头企业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 59 | 7077.55 | 6.16 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2012-09-27 |
| H50016 | 沪东北 | 上证东北振兴龙头企业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 41 | 3442.52 | 1.96 | 股票 | 区域 | 人民币 | 否 | 否 | 无 | 主题 | 2012-09-27 |
| H50017 | 沪信息业 | 上证战略性信息产业指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 50 | 5879.8 | 2.19 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-12-20 |
| H50018 | 上证文化 | 上证文化产业指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 1352.12 | -5.12 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-03-26 |
| H50019 | 上红回报 | 上证红利回报指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 50 | 7570.32 | 0.12 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-03-27 |
| H50020 | 上红潜力 | 上证红利潜力指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 50 | 7030.12 | 1.45 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50021 | 沪能源红 | 上证能源红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 9 | 4705.39 | 8.33 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50022 | 沪材料红 | 上证原材料红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 30 | 7652.13 | 4.43 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50023 | 沪工业红 | 上证工业红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 30 | 9027.61 | 0.81 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50024 | 沪可选红 | 上证可选消费红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 30 | 11056.69 | -0.06 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50025 | 沪消费红 | 上证主要消费红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 25 | 36004.78 | -1.81 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50026 | 沪医药红 | 上证医药卫生红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 30 | 8096.23 | 5.28 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50027 | 沪金融红 | 上证金融红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 17 | 6870.87 | 4.97 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50028 | 沪信息红 | 上证信息技术红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 29 | 31360.52 | -3.71 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50029 | 沪通信红 | 上证通信服务红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 19 | 11949.99 | -2.41 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50030 | 沪公用红 | 上证公用事业红利指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 15 | 4968.93 | 5.67 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2013-07-02 |
| H50031 | 沪绿色城 | 上证绿色城镇指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 2638.6 | -2.87 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2013-08-26 |
| H50032 | 沪城交通 | 上证城镇交通指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 2378.75 | -0.9 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-08-26 |
| H50033 | 沪城消费 | 上证城镇消费指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 2181.16 | -3.36 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-08-26 |
| H50034 | 沪城基建 | 上证城镇基建指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 1334.8 | 4.12 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-08-26 |
| H50035 | 沪智交通 | 上证智能交通指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 28 | 2043.46 | -3.82 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-08-26 |
| H50036 | 上证军工 | 上证军工指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 49 | 8650.18 | 1.1 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-12-26 |
| H50037 | 上证城镇 | 上证城镇化指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 250 | 2308.51 | -0.22 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-08-26 |
| H50038 | 沪智慧城 | 上证智慧城镇指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 50 | 2733.9 | -0.29 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-08-26 |
| H50039 | 上证TMT | 上证科技信息传媒产业指数 | 2011-06-30 | 1000.0 | 上证系列指数 | 50 | 2533.27 | 0.99 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2013-12-25 |
| H50040 | 上红低波 | 上证红利低波动指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 50 | 11009.37 | 3.03 | 股票 | 红利/高股息 | 人民币 | 否 | 是 | 无 | 策略 | 2014-03-21 |
| H50042 | 上红价值 | 上证红利价值指数 | 2005-12-30 | 1000.0 | 上证系列指数 | 50 | 9200.81 | 3.78 | 股票 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2014-03-21 |
| H50045 | 180两倍 | 上证180两倍杠杆指数 | 2009-06-30 | 7000.0 | 上证系列指数 | 180 | 3024.18 | 4.9 | 股票 |  | 人民币 | 否 | 是 | 无 | 策略 | 2014-06-19 |
| H50046 | 180反向 | 上证180反向指数 | 2009-06-30 | 7000.0 | 上证系列指数 | 180 | 3121.43 | -2.74 | 股票 |  | 人民币 | 否 | 是 | 无 | 策略 | 2014-06-19 |
| H50047 | 180反两 | 上证180反向两倍杠杆指数 | 2009-06-30 | 7000.0 | 上证系列指数 | 180 | 300.53 | -5.96 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2014-06-19 |
| H50052 | 上国改革 | 上证国有企业改革指数 | 2014-03-31 | 1000.0 | 上证系列指数 | 50 | 1992.57 | 2.81 | 股票 | 国企改革 | 人民币 | 否 | 否 | 无 | 主题 | 2014-10-28 |
| H50053 | 上证移动 | 上证移动互联网指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 45 | 3143.82 | -1.08 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2014-07-11 |
| H50054 | 上证休闲 | 上证文体休闲指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 50 | 818.66 | -4.98 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2014-07-21 |
| H50055 | 沪大农业 | 上证大农业指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 49 | 1437.44 | 0.37 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2014-07-22 |
| H50069 | 港股通 | 上证港股通指数 | 2014-11-14 | 3000.0 | 上证系列指数 | 554 | 3816.74 | -1.57 | 股票 | 互联互通 | 港元 | 否 | 是 | 无 | 主题 | 2015-02-16 |
| 950041 | 上证投资级转债及可交换债 | 上证投资级可转债及可交换债券指数 | 2008-12-31 | 100.0 | 上证系列指数 | 97 | 169.08 | 1.85 | 固定收益 |  | 人民币 | 否 | 是 | 无 | 可转债 | 2019-04-25 |
| 950045 | 上证5年期地债 | 上证5年期地方政府债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 1142 | 164.64 | 0.18 | 固定收益 |  | 人民币 | 否 | 是 | 无 | 利率债 | 2019-01-29 |
| 950046 | 上证3年期地债 | 上证3年期地方政府债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 2794 | 150.97 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2019-01-29 |
| 950047 | 上证1-5年地债 | 上证1-5年期地方政府债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 4042 | 155.11 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2019-04-25 |
| 950048 | G60综指 | 上证G60创新综合指数 | 2016-05-24 | 1000.0 | 上证系列指数 | 342 | 1164.26 | -0.68 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2019-11-29 |
| 950050 | 沪红利配置 | 上证红利配置策略指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 1 | 2352.09 | 4.67 | 多资产 | 红利/高股息 | 人民币 | 否 | 否 | 无 | 策略 | 2019-04-22 |
| 950051 | 沪转债L | 上证可转换债券流动性指数 | 2008-12-31 | 100.0 | 上证系列指数 | 182 | 174.78 | 1.23 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2019-11-15 |
| 950070 | 上证汽车 | 上证汽车指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 50 | 6966.56 | -4.23 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-04-21 |
| 950071 | 上证基建 | 上证基建指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 43 | 9175.89 | 3.14 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-04-21 |
| 950072 | 沪信安全 | 上证信息安全主题指数 | 2010-12-31 | 1000.0 | 上证系列指数 | 27 | 2939.16 | -2.61 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-07-13 |
| 950073 | 沪互联网 | 上证互联网主题指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 99 | 2170.9 | -3.27 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-05-29 |
| 950074 | 沪互金融 | 上证互联网金融主题指数 | 2012-06-29 | 1000.0 | 上证系列指数 | 18 | 3726.65 | -2.52 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-05-29 |
| 950075 | 沪现代农 | 上证现代农业主题指数 | 2010-12-31 | 1000.0 | 上证系列指数 | 27 | 1544.65 | 1.48 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2015-07-13 |
| 950076 | 50两倍 | 上证50两倍杠杆指数 | 2009-06-30 | 2500.0 | 上证系列指数 | 50 | 819.12 | 6.27 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2015-06-16 |
| 950077 | 50反向 | 上证50反向指数 | 2009-06-30 | 2500.0 | 上证系列指数 | 50 | 1212.5 | -3.25 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2015-06-16 |
| 950078 | 50反两 | 上证50反向两倍杠杆指数 | 2009-06-30 | 2500.0 | 上证系列指数 | 50 | 121.78 | -6.86 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2015-06-16 |
| 950079 | 上证混改 | 上证混合所有制改革指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 50 | 2258.21 | 1.25 | 股票 | 国企改革 | 人民币 | 否 | 否 | 无 | 主题 | 2015-08-03 |
